requisition_id,main_equipment_name,equipment_serial_no,motor_manufacturing_year,application_use,installed_location,installed_qty,make,model,frame,size,power_rating,kw,kva,rpm,duty_cycle,voltage,current,received_date,received_time,defects_observed,repairs_required,reason_of_failure_id,reason_of_failure_text,warranty_status,previous_refurbishment_job_no,spares_details,service_type_id,service_type_text,equipment_type_id,equipment_type_text,bearing_id,bearing_text,status,created_at,updated_at,created_by,updated_by
19,DC Motor,EQ10018,2019,Fan/Blower Driving,Blast Furnace,1,Bharat Bijlee,E968,D80,30.0 KW,30.49,30.0,32.68,1500,Continuous (S1),415,45.41,2025-07-17,21:09:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing N/A,2,Bearing Replacement,2,DC Motor,11,N/A,CLOSED,2025-07-17 00:00:00,2025-07-26 00:00:00,operator_18,supervisor_03
20,AC Motor,EQ10019,2011,Fan/Blower Driving,Sinter Plant,1,Kirloskar,K812,D180M,22.0 KW,21.81,22.0,23.93,750,Continuous with Intermittent Load (S6),440,31.3,2025-02-01,13:43:00,Insulation resistance below acceptable limit,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,1,6205 2RS,CLOSED,2025-02-01 00:00:00,2025-02-16 00:00:00,operator_02,supervisor_05
21,DC Motor,EQ10020,2022,Fan/Blower Driving,Wire Rod Mill,1,Siemens,S335,D180L,400.0 KW,399.76,400.0,476.71,1500,Continuous (S1),3300,81.47,2023-07-02,13:36:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,6,6308 2RS,CLOSED,2023-07-02 00:00:00,2023-07-10 00:00:00,operator_13,supervisor_03
22,DC Motor,EQ10021,2021,Pump Driving,Bar Mill,1,Bharat Bijlee,M397,D200L,22.0 KW,22.21,22.0,25.23,1000,Short Time (S2),3300,4.58,2024-05-14,06:39:00,"Winding overheated, discoloration visible",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,1,6205 2RS,DISPATCHED,2024-05-14 00:00:00,2024-05-16 00:00:00,operator_09,supervisor_07
23,AC Motor,EQ10022,2015,Fan/Blower Driving,Cold Rolling Mill,1,Kirloskar,D801,D250M,5.5 KW,5.43,5.5,6.7,750,Continuous (S1),415,9.44,2024-03-12,11:19:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing N/A,2,Bearing Replacement,1,AC Motor,11,N/A,CLOSED,2024-03-12 00:00:00,2024-04-04 00:00:00,operator_14,supervisor_02
24,AC Motor,EQ10023,2017,Pump Driving,Blast Furnace,1,GE,S235,D315S,2.2 KW,2.18,2.2,2.54,750,Short Time (S2),415,3.55,2025-10-28,12:42:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 7206 B,2,Bearing Replacement,1,AC Motor,9,7206 B,CLOSED,2025-10-28 00:00:00,2025-11-19 00:00:00,operator_05,supervisor_03
25,AC Motor,EQ10024,1996,Compressor Driving,Blast Furnace,1,Havells,D473,D280S,18.5 KW,18.17,18.5,20.97,1000,Continuous (S1),440,26.37,2025-01-17,20:16:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6305 2RS,2,Bearing Replacement,1,AC Motor,3,6305 2RS,CLOSED,2025-01-17 00:00:00,2025-02-02 00:00:00,operator_09,supervisor_01
26,AC Motor,EQ10025,2014,Fan/Blower Driving,Cold Rolling Mill,1,ABB,M752,D180M,55.0 KW,56.02,55.0,66.44,1500,Intermittent (S3),415,88.04,2025-05-02,10:09:00,Temperature rise exceeding limits,Cooling system repaired. Fan replaced. Ventilation passages cleaned.,5,Overheating,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,6,6308 2RS,CLOSED,2025-05-02 00:00:00,2025-05-03 00:00:00,operator_15,supervisor_06
27,Crane Motor,EQ10026,2014,Pump Driving,Wire Rod Mill,1,ABB,M276,D132S,5.5 KW,5.5,5.5,6.02,1000,Short Time (S2),415,8.49,2023-08-21,08:10:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,5,Crane Motor,7,NU 206,CLOSED,2023-08-21 00:00:00,2023-09-15 00:00:00,operator_11,supervisor_06
28,AC Motor,EQ10027,2012,Fan/Blower Driving,Bar Mill,1,Crompton Greaves,D352,D225S,45.0 KW,45.64,45.0,54.57,1000,Intermittent (S3),415,72.43,2023-08-06,19:38:00,Insulation resistance low on winding,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,5,6307 2RS,DISPATCHED,2023-08-06 00:00:00,2023-08-18 00:00:00,operator_03,supervisor_05
29,Blower Motor,EQ10028,1995,Rolling Mill Drive,Blast Furnace,1,WEG,M669,D355M,15.0 KW,14.86,15.0,16.39,750,Continuous (S1),440,22.34,2024-12-08,09:15:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",6,Shaft Repair,4,Blower Motor,9,7206 B,CLOSED,2024-12-08 00:00:00,2025-01-06 00:00:00,operator_07,supervisor_04
30,Pump Motor,EQ10029,2009,Hydraulic Press,Blast Furnace,1,GE,M453,D80,200.0 KW,201.42,200.0,226.34,3000,Short Time (S2),11000,12.24,2023-08-19,15:47:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6205 2RS,2,Bearing Replacement,3,Pump Motor,1,6205 2RS,CLOSED,2023-08-19 00:00:00,2023-09-01 00:00:00,operator_13,supervisor_07
31,Compressor Motor,EQ10030,2008,Rolling Mill Drive,Coke Oven Plant,1,Kirloskar,D754,D100L,250.0 KW,245.18,250.0,302.32,1000,Continuous (S1),11000,15.23,2024-10-18,07:12:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 22210 E,2,Bearing Replacement,6,Compressor Motor,10,22210 E,DISPATCHED,2024-10-18 00:00:00,2024-10-26 00:00:00,operator_15,supervisor_01
32,AC Motor,EQ10031,2005,Pump Driving,Cold Rolling Mill,1,Bharat Bijlee,H720,D112M,5.5 KW,5.4,5.5,6.43,1500,Continuous (S1),415,9.34,2025-11-12,13:31:00,Surface tracking on insulation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,7,NU 206,CLOSED,2025-11-12 00:00:00,2025-11-17 00:00:00,operator_16,supervisor_02
33,Blower Motor,EQ10032,2001,Fan/Blower Driving,Hot Strip Mill,1,WEG,S579,D225M,11.0 KW,11.16,11.0,12.88,3000,Continuous (S1),415,18.69,2024-10-29,16:24:00,Surface tracking on insulation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,4,Blower Motor,6,6308 2RS,DISPATCHED,2024-10-29 00:00:00,2024-11-01 00:00:00,operator_13,supervisor_07
34,AC Motor,EQ10033,2015,Crane Hoisting,Hot Strip Mill,1,Siemens,M909,D160M,75.0 KW,76.22,75.0,87.32,3000,Continuous (S1),415,115.54,2024-01-27,06:51:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6308 2RS,2,Bearing Replacement,1,AC Motor,6,6308 2RS,CLOSED,2024-01-27 00:00:00,2024-02-08 00:00:00,operator_16,supervisor_06
35,DC Motor,EQ10034,2022,Compressor Driving,Cold Rolling Mill,1,Bharat Bijlee,M307,D180L,2.2 KW,2.22,2.2,2.62,1500,Continuous (S1),415,3.8,2025-05-30,21:58:00,"Winding overheated, discoloration visible",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,3,6305 2RS,CLOSED,2025-05-30 00:00:00,2025-06-18 00:00:00,operator_08,supervisor_06
36,AC Motor,EQ10035,2023,Cooling Tower Fan,Coke Oven Plant,1,Remi,M178,D250M,18.5 KW,18.77,18.5,20.81,3000,Intermittent (S3),440,28.23,2024-09-03,15:30:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,3,6305 2RS,DISPATCHED,2024-09-03 00:00:00,2024-09-12 00:00:00,operator_07,supervisor_02
37,Blower Motor,EQ10036,2014,Pump Driving,Cold Rolling Mill,1,ABB,D262,D225M,1.5 KW,1.52,1.5,1.75,3000,Continuous with Intermittent Load (S6),415,2.4,2024-02-06,20:31:00,Insulation breakdown at connections,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,4,Blower Motor,9,7206 B,CLOSED,2024-02-06 00:00:00,2024-02-08 00:00:00,operator_06,supervisor_06
38,AC Motor,EQ10037,2016,Conveyor Belt,Sinter Plant,1,Crompton Greaves,E493,D355L,37.0 KW,36.86,37.0,42.85,1500,Short Time (S2),415,58.15,2023-04-06,19:25:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 308,2,Bearing Replacement,1,AC Motor,8,NU 308,CLOSED,2023-04-06 00:00:00,2023-04-30 00:00:00,operator_12,supervisor_05
39,Pump Motor,EQ10038,1999,Fan/Blower Driving,Hot Strip Mill,1,ABB,S145,D225S,22.0 KW,21.76,22.0,25.93,1500,Periodic (S5),3300,4.7,2025-03-01,14:57:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",3,General Overhaul,3,Pump Motor,7,NU 206,CLOSED,2025-03-01 00:00:00,2025-03-23 00:00:00,operator_08,supervisor_03
40,AC Motor,EQ10039,2023,Conveyor Belt,Bar Mill,1,Kirloskar,S133,D280S,160.0 KW,157.86,160.0,179.87,1500,Continuous (S1),11000,9.04,2024-11-20,07:10:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",6,Shaft Repair,1,AC Motor,6,6308 2RS,DISPATCHED,2024-11-20 00:00:00,2024-12-08 00:00:00,operator_07,supervisor_02
41,DC Motor,EQ10040,2008,Cooling Tower Fan,Bar Mill,1,Bharat Bijlee,E311,D112M,1.1 KW,1.11,1.1,1.21,3000,Continuous (S1),415,1.68,2025-04-03,12:53:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6305 2RS,2,Bearing Replacement,2,DC Motor,3,6305 2RS,CLOSED,2025-04-03 00:00:00,2025-04-05 00:00:00,operator_17,supervisor_04
42,DC Motor,EQ10041,2008,Compressor Driving,Blast Furnace,1,Crompton Greaves,E929,D225M,315.0 KW,318.95,315.0,360.57,1500,Short Time (S2),11000,18.56,2025-05-01,21:17:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",6,Shaft Repair,2,DC Motor,11,N/A,CLOSED,2025-05-01 00:00:00,2025-05-28 00:00:00,operator_17,supervisor_04
43,Compressor Motor,EQ10042,2020,Compressor Driving,Bar Mill,1,Havells,M843,D80,22.0 KW,21.58,22.0,24.27,3000,Continuous (S1),415,32.22,2025-04-17,16:40:00,Rotor rubbing against stator,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,Bearing 6306 2RS,2,Bearing Replacement,6,Compressor Motor,4,6306 2RS,CLOSED,2025-04-17 00:00:00,2025-04-25 00:00:00,operator_12,supervisor_05
44,AC Motor,EQ10043,2009,Mixer Agitator,Cold Rolling Mill,1,Remi,E394,D132M,315.0 KW,312.14,315.0,363.38,3000,Continuous (S1),11000,18.91,2024-05-13,21:18:00,Rotor rubbing against stator,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",3,General Overhaul,1,AC Motor,5,6307 2RS,CLOSED,2024-05-13 00:00:00,2024-05-30 00:00:00,operator_17,supervisor_04
45,Pump Motor,EQ10044,2014,Compressor Driving,Coke Oven Plant,1,Kirloskar,D635,D225M,22.0 KW,21.74,22.0,25.65,3000,Continuous (S1),440,32.78,2025-04-02,06:48:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 308,2,Bearing Replacement,3,Pump Motor,8,NU 308,CLOSED,2025-04-02 00:00:00,2025-04-25 00:00:00,operator_07,supervisor_07
46,Pump Motor,EQ10045,2012,Pump Driving,Bar Mill,1,Siemens,M111,D225S,11.0 KW,11.01,11.0,12.61,1500,Continuous with Intermittent Load (S6),415,18.03,2023-11-23,06:06:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,11,N/A,CLOSED,2023-11-23 00:00:00,2023-11-26 00:00:00,operator_04,supervisor_04
47,AC Motor,EQ10046,2011,Cooling Tower Fan,Bar Mill,1,GE,E770,D90L,45.0 KW,44.13,45.0,53.49,1500,Continuous (S1),440,67.63,2024-08-17,15:36:00,Insulation resistance low on winding,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,3,6305 2RS,CLOSED,2024-08-17 00:00:00,2024-09-15 00:00:00,operator_13,supervisor_07
48,AC Motor,EQ10047,2013,Crane Hoisting,Cold Rolling Mill,1,Kirloskar,H904,D180L,18.5 KW,18.65,18.5,21.77,3000,Intermittent (S3),415,30.36,2023-07-15,16:28:00,Rotor rubbing against stator,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,2,6206 2RS,CLOSED,2023-07-15 00:00:00,2023-08-01 00:00:00,operator_12,supervisor_04
49,AC Motor,EQ10048,2021,Compressor Driving,Bar Mill,1,Kirloskar,H637,D280M,400.0 KW,393.21,400.0,452.83,1500,Continuous (S1),6600,38.58,2023-08-17,07:40:00,Surface tracking on insulation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,3,6305 2RS,CLOSED,2023-08-17 00:00:00,2023-08-24 00:00:00,operator_07,supervisor_03
50,Pump Motor,EQ10049,2000,Crane Hoisting,Bar Mill,1,ABB,H703,D132S,7.5 KW,7.41,7.5,8.46,1500,Continuous (S1),440,10.73,2023-11-20,15:05:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,3,Pump Motor,1,6205 2RS,CLOSED,2023-11-20 00:00:00,2023-11-27 00:00:00,operator_09,supervisor_01
51,AC Motor,EQ10050,2005,Rolling Mill Drive,Power Plant,1,Crompton Greaves,H968,D280S,18.5 KW,18.37,18.5,22.21,3000,Continuous (S1),415,30.38,2024-06-13,15:27:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,5,6307 2RS,CLOSED,2024-06-13 00:00:00,2024-07-03 00:00:00,operator_01,supervisor_04
52,Crane Motor,EQ10051,2012,Rolling Mill Drive,Wire Rod Mill,1,ABB,K920,D250M,7.5 KW,7.46,7.5,8.95,1500,Continuous (S1),440,11.4,2025-03-09,16:16:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6205 2RS,2,Bearing Replacement,5,Crane Motor,1,6205 2RS,DISPATCHED,2025-03-09 00:00:00,2025-03-26 00:00:00,operator_02,supervisor_07
53,AC Motor,EQ10052,2008,Fan/Blower Driving,Bar Mill,1,WEG,K778,D280S,37.0 KW,36.92,37.0,42.37,1500,Continuous (S1),3300,7.12,2024-05-14,10:12:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",4,Alignment Correction,1,AC Motor,3,6305 2RS,CLOSED,2024-05-14 00:00:00,2024-06-03 00:00:00,operator_01,supervisor_06
54,AC Motor,EQ10053,1998,Mixer Agitator,Wire Rod Mill,1,WEG,E572,D180M,90.0 KW,89.91,90.0,106.72,1500,Continuous (S1),415,146.14,2025-12-05,21:45:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 206,2,Bearing Replacement,1,AC Motor,7,NU 206,CLOSED,2025-12-05 00:00:00,2025-12-24 00:00:00,operator_01,supervisor_02
